"time","x","y","z"
16.5,7.90779752327188,5.12248777548992,26.8794661660964
16.51,7.71842841200487,5.09645311507313,26.478066418638
16.52,7.54114125482659,5.10051253008722,26.0784897156362
16.53,7.37709027310077,5.13280626719901,25.6834995413132
16.54,7.22722602604407,5.1914860654995,25.2955572535372
16.55,7.09231157313949,5.27476027161049,24.9168588282623
16.56,6.97294015785583,5.38092638928499,24.5493730863101
16.57,6.8695535019886,5.50839231620781,24.1948795304511
16.58,6.78245995147561,5.65568765152631,23.8550044369464
16.59,6.71185186026787,5.82146646614437,23.531254277245
16.6,6.65782173220825,6.00450285214475,23.2250458850023
16.61,6.62037675817516,6.20368044029407,22.9377330331103
16.62,6.59945148550302,6.41797692154143,22.6706292530501
16.63,6.59491843906828,6.64644444986598,22.4250268257544
16.64,6.60659657976965,6.88818665474265,22.2022119115946
16.65,6.63425753855198,7.14233286278009,22.0034757792515
16.66,6.67762960522565,7.40801002761002,21.8301220505391
16.67,6.73639948399901,7.6843128006381,21.6834698112545
16.68,6.81021185489574,7.9702721471651,21.5648523566242
16.69,6.89866680515241,8.26482292608147,21.4756112534059
16.7,7.00131522036431,8.56677090950005,21.417085318865
16.71,7.1176522545917,8.87475982313405,21.3905940501728
16.72,7.24710903475652,9.1872391394862,21.3974149980832
16.73,7.38904280012779,9.5024335525164,21.4387545795826
16.74,7.54272573481231,9.81831529985869,21.5157118810141
16.75,7.70733282162822,10.1325807679134,21.6292351330245
16.76,7.88192913032402,10.4426331013327,21.7800707594754
16.77,8.06545705128081,10.7455728190646,21.968705231378
16.78,8.25672409528693,11.0381986827821,22.1953004079312
16.79,8.45439199608505,11.3170212290273,22.4596236271457
16.8,8.65696796774941,11.5782914132327,22.7609745144161
16.81,8.8627990729627,11.8180466642264,23.0981112884679
16.82,9.07007073703042,12.0321762516558,23.4691802183313
16.83,9.27681047908557,12.2165071707991,23.8716527542009
16.84,9.48089790737585,12.3669107101806,24.3022756227878
16.85,9.68008192031675,12.4794284772415,24.757039721424
16.86,9.87200585172324,12.5504149498988,25.2311738238918
16.87,10.0542409852384,12.5766916879967,25.719168781047
16.88,10.2243284365542,12.5557063341874,26.2148369371938
16.89,10.3798288725992,12.4856876777851,26.7114098142017
16.9,10.518378930398,12.3657866149779,27.2016747445922
16.91,10.6377525578668,12.196192099337,27.6781481730382
16.92,10.7359248831701,11.9782113949659,28.1332800227562
16.93,10.8111356981153,11.7143052962398,28.5596801805414
16.94,10.8619492869041,11.4080715038057,28.9503552114822
16.95,10.8873072090283,11.0641729151,29.2989413112259
16.96,10.8865707992878,10.6882118857909,29.5999186230317
16.97,10.8595505941577,10.2865560780853,29.8487926360377
16.98,10.8065206111144,9.86612577391469,30.0422304885248
16.99,10.7282163382475,9.43415593793523,30.178143445689
17,10.6258163468577,8.99794841063093,30.2557112134477
17.01,10.5009085122176,8.56463012572655,30.2753485448682
17.02,10.355442806657,8.14093214471804,30.23861919351
17.03,10.1916734174452,7.73300178811052,30.1481061161082
